ortho;lemme;freqfilms;freqlivres;mode;temps;personne
est;être;19417,69;6331,76;ind;pre;3s
a;avoir;5498,34;1669,39;ind;pre;3s
va;aller;3382,55;694,59;imp;pre;2s
va;aller;3382,55;694,59;ind;pre;3s
fait;faire;2751,99;1459,26;ind;pre;3s
sais;savoir;2492,92;615,27;ind;pre;1s
sais;savoir;2492,92;615,27;ind;pre;2s
veux;vouloir;2486,93;377,97;ind;pre;1s
veux;vouloir;2486,93;377,97;ind;pre;2s
ai;avoir;2475,78;619,05;ind;pre;1s
était;être;2356,65;3688,99;ind;imp;3s
dit;dire;2146,01;2601,62;ind;fut;3p
dit;dire;2146,01;2601,62;ind;pre;3s
dit;dire;2146,01;2601,62;ind;pas;3s
es;être;1849,07;256,62;ind;pre;2s
suis;suivre;1819,44;583,92;imp;pre;2s
suis;suivre;1819,44;583,92;ind;pre;1s
peux;pouvoir;1743,78;245,41;ind;pre;1s
peux;pouvoir;1743,78;245,41;ind;pre;2s
vais;aller;1644,99;280,00;ind;pre;1s
sont;être;1449,03;713,18;ind;pre;3p
allez;aller;1414,85;155,54;imp;pre;2p
allez;aller;1414,85;155,54;ind;pre;2p
fais;faire;1390,92;224,26;imp;pre;2s
fais;faire;1390,92;224,26;ind;pre;1s
fais;faire;1390,92;224,26;ind;pre;2s
faut;falloir;1318,11;653,92;ind;pre;3s
as;avoir;1274,31;208,72;ind;pre;2s
peut;pouvoir;1209,64;508,99;ind;pre;3s
dis;dire;1025,78;477,36;imp;pre;2s
dis;dire;1025,78;477,36;ind;pre;1s
dis;dire;1025,78;477,36;ind;pre;1s
dis;dire;1025,78;477,36;ind;pre;2s
dis;dire;1025,78;477,36;ind;pas;1s
vas;aller;1009,22;136,35;imp;pre;2s
vas;aller;1009,22;136,35;ind;pre;2s
êtes;être;1002,88;195,54;imp;pre;2p
êtes;être;1002,88;195,54;ind;pre;2p
viens;venir;944,81;126,49;imp;pre;2s
viens;venir;944,81;126,49;ind;pre;1s
viens;venir;944,81;126,49;ind;pre;2s
crois;croire;904,45;305,54;imp;pre;2s
crois;croire;904,45;305,54;ind;pre;1s
crois;croire;904,45;305,54;ind;pre;2s
dois;devoir;894,69;102,03;imp;pre;2s
dois;devoir;894,69;102,03;ind;pre;1s
dois;devoir;894,69;102,03;ind;pre;2s
aime;aimer;751,29;257,57;imp;pre;2s
aime;aimer;751,29;257,57;ind;pre;1s
aime;aimer;751,29;257,57;ind;pre;1s
aime;aimer;751,29;257,57;ind;pre;3s
aime;aimer;751,29;257,57;sub;pre;1s
aime;aimer;751,29;257,57;sub;pre;3s
veut;vouloir;701,19;210,61;ind;pre;3s
vois;voir;689,75;253,72;imp;pre;2s
vois;voir;689,75;253,72;ind;pre;1s
vois;voir;689,75;253,72;ind;pre;2s
suis;être;668,88;9,59;imp;pre;2s
suis;être;668,88;9,59;ind;pre;1s
suis;être;668,88;9,59;ind;pre;2s
avez;avoir;661,88;134,19;ind;pre;2p
doit;devoir;654,84;224,59;ind;pre;3s
étais;être;649,35;403,11;ind;imp;1s
étais;être;649,35;403,11;ind;imp;2s
regarde;regarder;613,45;203,65;imp;pre;2s
regarde;regarder;613,45;203,65;ind;pre;1s
regarde;regarder;613,45;203,65;ind;pre;3s
regarde;regarder;613,45;203,65;sub;pre;1s
regarde;regarder;613,45;203,65;sub;pre;3s
avait;avoir;596,64;1496,15;ind;imp;3s
voulez;vouloir;553,40;113,58;imp;pre;2p
voulez;vouloir;553,40;113,58;ind;pre;2p
faites;faire;541,80;93,31;imp;pre;2p
faites;faire;541,80;93,31;ind;pre;2p
faites;faire;541,80;93,31;imp;pre;2p
faites;faire;541,80;93,31;ind;pre;2p
arrive;arriver;525,10;164,12;imp;pre;2s
arrive;arriver;525,10;164,12;ind;pre;1s
arrive;arriver;525,10;164,12;ind;pre;3s
arrive;arriver;525,10;164,12;sub;pre;1s
arrive;arriver;525,10;164,12;sub;pre;3s
passe;passer;523,58;185,61;imp;pre;2s
passe;passer;523,58;185,61;ind;pre;1s
passe;passer;523,58;185,61;ind;pre;3s
passe;passer;523,58;185,61;sub;pre;1s
passe;passer;523,58;185,61;sub;pre;3s
pense;penser;517,64;178,04;imp;pre;2s
pense;penser;517,64;178,04;ind;pre;1s
pense;penser;517,64;178,04;ind;pre;3s
pense;penser;517,64;178,04;sub;pre;1s
pense;penser;517,64;178,04;sub;pre;3s
allons;aller;500,21;129,80;imp;pre;1p
allons;aller;500,21;129,80;ind;pre;1p
plaît;plaire;499,91;55,00;ind;pre;3s
appelle;appeler;485,77;132,36;imp;pre;2s
appelle;appeler;485,77;132,36;ind;pre;1s
appelle;appeler;485,77;132,36;ind;pre;3s
appelle;appeler;485,77;132,36;sub;pre;1s
appelle;appeler;485,77;132,36;sub;pre;3s
laisse;laisser;479,63;143,31;imp;pre;2s
laisse;laisser;479,63;143,31;ind;pre;1s
laisse;laisser;479,63;143,31;ind;pre;3s
laisse;laisser;479,63;143,31;sub;pre;1s
laisse;laisser;479,63;143,31;sub;pre;3s
attends;attendre;478,32;62,57;imp;pre;2s
attends;attendre;478,32;62,57;ind;pre;1s
attends;attendre;478,32;62,57;ind;pre;2s
sera;être;478,03;161,82;ind;fut;3s
arrête;arrêter;456,59;85,07;imp;pre;2s
arrête;arrêter;456,59;85,07;ind;pre;1s
arrête;arrêter;456,59;85,07;ind;pre;3s
arrête;arrêter;456,59;85,07;sub;pre;1s
arrête;arrêter;456,59;85,07;sub;pre;3s
parle;parler;451,68;168,78;imp;pre;2s
parle;parler;451,68;168,78;ind;pre;1s
parle;parler;451,68;168,78;ind;pre;3s
parle;parler;451,68;168,78;sub;pre;1s
parle;parler;451,68;168,78;sub;pre;3s
prends;prendre;431,50;70,20;imp;pre;2s
prends;prendre;431,50;70,20;ind;pre;1s
prends;prendre;431,50;70,20;ind;pre;2s
connais;connaître;415,87;111,35;imp;pre;2s
connais;connaître;415,87;111,35;ind;pre;1s
connais;connaître;415,87;111,35;ind;pre;2s
voulais;vouloir;415,76;107,30;ind;imp;1s
voulais;vouloir;415,76;107,30;ind;imp;2s
savez;savoir;407,94;132,91;ind;pre;2p
sait;savoir;401,46;245,00;ind;pre;3s
donne;donner;401,06;149,26;imp;pre;2s
donne;donner;401,06;149,26;ind;pre;1s
donne;donner;401,06;149,26;ind;pre;3s
donne;donner;401,06;149,26;sub;pre;1s
donne;donner;401,06;149,26;sub;pre;3s
ont;avoir;381,18;240,61;ind;pre;3p
pris;prendre;374,60;333,04;ind;pas;1s
pris;prendre;374,60;333,04;ind;pas;2s
avais;avoir;373,32;351,96;ind;imp;1s
avais;avoir;373,32;351,96;ind;imp;2s
comprends;comprendre;368,53;103,18;imp;pre;2s
comprends;comprendre;368,53;103,18;ind;pre;1s
comprends;comprendre;368,53;103,18;ind;pre;2s
pouvez;pouvoir;353,43;53,11;ind;pre;2p
vient;venir;352,24;206,22;ind;pre;3s
reste;rester;320,44;153,99;imp;pre;2s
reste;rester;320,44;153,99;ind;pre;1s
reste;rester;320,44;153,99;ind;pre;3s
reste;rester;320,44;153,99;sub;pre;3s
soit;être;319,65;167,03;sub;pre;3s
pourrait;pouvoir;313,54;159,32;cnd;pre;3s
dites;dire;311,69;77,43;imp;pre;2p
dites;dire;311,69;77,43;ind;pre;2p
serait;être;311,37;285,27;cnd;pre;3s
venez;venir;304,03;41,42;imp;pre;2p
venez;venir;304,03;41,42;ind;pre;2p
sommes;être;293,82;130,95;imp;pre;1p
sommes;être;293,82;130,95;ind;pre;1p
sommes;être;293,82;130,95;sub;pre;2s
demande;demander;289,34;208,18;imp;pre;2s
demande;demander;289,34;208,18;ind;pre;1s
demande;demander;289,34;208,18;ind;pre;3s
demande;demander;289,34;208,18;sub;pre;1s
demande;demander;289,34;208,18;sub;pre;3s
trouve;trouver;284,45;163,78;imp;pre;2s
trouve;trouver;284,45;163,78;ind;pre;1s
trouve;trouver;284,45;163,78;ind;pre;3s
trouve;trouver;284,45;163,78;sub;pre;1s
trouve;trouver;284,45;163,78;sub;pre;3s
vont;aller;281,35;116,62;ind;pre;3p
laissez;laisser;265,61;31,42;imp;pre;2p
laissez;laisser;265,61;31,42;ind;pre;2p
regardez;regarder;261,81;30,95;imp;pre;2p
regardez;regarder;261,81;30,95;ind;pre;2p
importe;importer;251,39;151,08;imp;pre;2s
importe;importer;251,39;151,08;ind;pre;1s
importe;importer;251,39;151,08;ind;pre;3s
pourrais;pouvoir;247,90;64,93;cnd;pre;1s
pourrais;pouvoir;247,90;64,93;cnd;pre;2s
prie;prier;247,29;44,19;imp;pre;2s
prie;prier;247,29;44,19;ind;pre;1s
prie;prier;247,29;44,19;ind;pre;3s
prie;prier;247,29;44,19;sub;pre;1s
sens;sentir;240,85;82,91;imp;pre;2s
sens;sentir;240,85;82,91;ind;pre;1s
sens;sentir;240,85;82,91;ind;pre;2s
avons;avoir;237,78;68,85;ind;pre;1p
savais;savoir;236,66;132,09;ind;imp;1s
savais;savoir;236,66;132,09;ind;imp;2s
devrais;devoir;235,63;36,49;cnd;pre;1s
devrais;devoir;235,63;36,49;cnd;pre;2s
attendez;attendre;230,66;19,86;imp;pre;2p
attendez;attendre;230,66;19,86;ind;pre;2p
excusez;excuser;230,25;16,08;imp;pre;2p
excusez;excuser;230,25;16,08;ind;pre;2p
mis;mettre;228,57;245,68;ind;pas;1s
mis;mettre;228,57;245,68;ind;pas;2s
aimerais;aimer;227,66;36,01;cnd;pre;1s
aimerais;aimer;227,66;36,01;cnd;pre;2s
vivre;vivre;218,52;186,82;ind;imp;3s
écoute;écouter;214,67;83,58;imp;pre;2s
écoute;écouter;214,67;83,58;ind;pre;1s
écoute;écouter;214,67;83,58;ind;pre;3s
écoute;écouter;214,67;83,58;sub;pre;1s
écoute;écouter;214,67;83,58;sub;pre;3s
espère;espérer;209,19;43,85;imp;pre;2s
espère;espérer;209,19;43,85;ind;pre;1s
espère;espérer;209,19;43,85;ind;pre;3s
espère;espérer;209,19;43,85;sub;pre;1s
devrait;devoir;208,85;51,49;cnd;pre;3s
sois;être;205,19;39,80;imp;pre;2s
sois;être;205,19;39,80;sub;pre;1s
sois;être;205,19;39,80;sub;pre;2s
pensais;penser;199,51;69,66;ind;imp;1s
pensais;penser;199,51;69,66;ind;imp;2s
souviens;souvenir;198,30;72,84;imp;pre;2s
souviens;souvenir;198,30;72,84;ind;pre;1s
souviens;souvenir;198,30;72,84;ind;pre;2s
compris;comprendre;198,16;136,62;ind;pas;1s
compris;comprendre;198,16;136,62;ind;pas;2s
étaient;être;197,09;534,19;ind;imp;3p
étaient;être;197,09;534,19;ind;pre;3p
étaient;être;197,09;534,19;sub;pre;3p
voudrais;vouloir;194,56;92,09;cnd;pre;1s
voudrais;vouloir;194,56;92,09;cnd;pre;2s
font;faire;193,61;153,92;ind;pre;3p
voulait;vouloir;192,15;225,34;ind;imp;3s
voyez;voir;191,63;83,65;imp;pre;2p
voyez;voir;191,63;83,65;ind;pre;2p
dirait;dire;190,63;85,88;cnd;pre;3s
suffit;suffire;188,10;59,66;ind;pre;3s
suffit;suffire;188,10;59,66;ind;pas;3s
aura;avoir;187,56;75,14;ind;fut;3s
penses;penser;186,90;38,24;ind;pre;2s
penses;penser;186,90;38,24;sub;pre;2s
voit;voir;181,98;158,78;ind;pre;3s
prend;prendre;179,02;129,05;ind;pre;3s
prenez;prendre;175,12;25,47;imp;pre;2p
prenez;prendre;175,12;25,47;ind;pre;2p
arrêtez;arrêter;174,12;6,69;imp;pre;2p
arrêtez;arrêter;174,12;6,69;ind;pre;2p
attend;attendre;173,86;74,46;ind;pre;3s
fera;faire;170,70;59,66;ind;fut;3s
aimes;aimer;170,38;25,61;ind;pre;2s
aimes;aimer;170,38;25,61;sub;pre;2s
essaie;essayer;168,04;39,59;imp;pre;2s
essaie;essayer;168,04;39,59;ind;pre;1s
essaie;essayer;168,04;39,59;ind;pre;3s
essaie;essayer;168,04;39,59;sub;pre;3s
entends;entendre;163,49;78,45;imp;pre;2s
entends;entendre;163,49;78,45;ind;pre;1s
entends;entendre;163,49;78,45;ind;pre;2s
reviens;revenir;163,19;22,36;imp;pre;2s
reviens;revenir;163,19;22,36;ind;pre;1s
reviens;revenir;163,19;22,36;ind;pre;2s
croyais;croire;162,56;57,36;ind;imp;1s
croyais;croire;162,56;57,36;ind;imp;2s
vaut;valoir;161,53;69,39;ind;pre;3s
sors;sortir;156,13;25,47;imp;pre;2s
sors;sortir;156,13;25,47;ind;pre;1s
sors;sortir;156,13;25,47;ind;pre;2s
marche;marcher;154,71;58,38;imp;pre;2s
marche;marcher;154,71;58,38;ind;pre;1s
marche;marcher;154,71;58,38;ind;pre;3s
marche;marcher;154,71;58,38;sub;pre;3s
croyez;croire;152,54;55,07;imp;pre;2p
croyez;croire;152,54;55,07;ind;pre;2p
parles;parler;152,20;35,34;ind;pre;2s
parles;parler;152,20;35,34;sub;pre;2s
mets;mettre;151,83;33,72;imp;pre;2s
mets;mettre;151,83;33,72;ind;pre;1s
mets;mettre;151,83;33,72;ind;pre;2s
pensé;penser;151,67;97,57;imp;pre;2s
rentre;rentrer;151,42;41,76;imp;pre;2s
rentre;rentrer;151,42;41,76;ind;pre;1s
rentre;rentrer;151,42;41,76;ind;pre;3s
rentre;rentrer;151,42;41,76;sub;pre;3s
cherche;chercher;150,75;66,69;imp;pre;2s
cherche;chercher;150,75;66,69;ind;pre;1s
cherche;chercher;150,75;66,69;ind;pre;3s
cherche;chercher;150,75;66,69;sub;pre;1s
cherche;chercher;150,75;66,69;sub;pre;3s
devez;devoir;150,16;16,15;imp;pre;2p
devez;devoir;150,16;16,15;ind;pre;2p
travaille;travailler;149,22;35,54;imp;pre;2s
travaille;travailler;149,22;35,54;ind;pre;1s
travaille;travailler;149,22;35,54;ind;pre;3s
travaille;travailler;149,22;35,54;sub;pre;3s
pensez;penser;148,70;41,69;imp;pre;2p
pensez;penser;148,70;41,69;ind;pre;2p
ira;aller;148,34;28,31;ind;fut;3s
puis;pouvoir;146,64;44,39;ind;pre;1s
ferai;faire;146,11;31,69;ind;fut;1s
commence;commencer;143,51;82,50;imp;pre;2s
commence;commencer;143,51;82,50;ind;pre;1s
commence;commencer;143,51;82,50;ind;pre;3s
commence;commencer;143,51;82,50;sub;pre;3s
veulent;vouloir;142,38;39,05;ind;pre;3p
ouvre;ouvrir;141,45;80,07;imp;pre;2s
ouvre;ouvrir;141,45;80,07;ind;pre;1s
ouvre;ouvrir;141,45;80,07;ind;pre;3s
ouvre;ouvrir;141,45;80,07;sub;pre;3s
serai;être;140,69;39,46;ind;fut;1s
penser;penser;140,24;161,62;imp;pre;2p
occupe;occuper;139,84;37,09;imp;pre;2s
occupe;occuper;139,84;37,09;ind;pre;1s
occupe;occuper;139,84;37,09;ind;pre;3s
occupe;occuper;139,84;37,09;sub;pre;1s
occupe;occuper;139,84;37,09;sub;pre;3s
comprendre;comprendre;135,24;148,51;imp;pre;2p
comprendre;comprendre;135,24;148,51;ind;imp;3s
faisait;faire;134,90;524,73;ind;imp;3s
essayer;essayer;134,69;56,42;ind;pre;2p
fous;foutre;133,75;34,46;ind;pre;1p
fous;foutre;133,75;34,46;ind;pre;1s
fous;foutre;133,75;34,46;ind;pre;2s
peuvent;pouvoir;133,30;69,32;ind;pre;3p
allait;aller;132,04;370,61;ind;imp;3s
semble;sembler;128,91;154,19;imp;pre;2s
semble;sembler;128,91;154,19;ind;pre;1s
semble;sembler;128,91;154,19;ind;pre;3s
semble;sembler;128,91;154,19;sub;pre;3s
écrit;écrire;128,35;95,07;ind;pre;3s
voyons;voir;127,93;44,80;imp;pre;1p
voyons;voir;127,93;44,80;ind;pre;1p
connaissez;connaître;125,09;29,53;imp;pre;2p
connaissez;connaître;125,09;29,53;ind;pre;2p
joue;jouer;122,88;40,47;imp;pre;2s
joue;jouer;122,88;40,47;ind;pre;1s
joue;jouer;122,88;40,47;ind;pre;3s
joue;jouer;122,88;40,47;sub;pre;3s
pouvais;pouvoir;122,61;113,24;ind;imp;1s
pouvais;pouvoir;122,61;113,24;ind;imp;2s
adore;adorer;121,69;16,76;imp;pre;2s
adore;adorer;121,69;16,76;ind;pre;1s
adore;adorer;121,69;16,76;ind;pre;3s
adore;adorer;121,69;16,76;sub;pre;3s
appris;apprendre;120,98;97,70;ind;pas;1s
appris;apprendre;120,98;97,70;ind;pas;2s
parlez;parler;120,79;22,03;imp;pre;2p
parlez;parler;120,79;22,03;ind;pre;2p
aide;aider;119,69;18,38;imp;pre;2s
aide;aider;119,69;18,38;ind;pre;1s
aide;aider;119,69;18,38;ind;pre;3s
aide;aider;119,69;18,38;sub;pre;1s
aide;aider;119,69;18,38;sub;pre;3s
donnez;donner;118,36;13,65;imp;pre;2p
donnez;donner;118,36;13,65;ind;pre;2p
rappelle;rappeler;117,92;57,70;imp;pre;2s
rappelle;rappeler;117,92;57,70;ind;pre;1s
rappelle;rappeler;117,92;57,70;ind;pre;3s
rappelle;rappeler;117,92;57,70;sub;pre;1s
rappelle;rappeler;117,92;57,70;sub;pre;3s
tue;tuer;116,46;16,96;imp;pre;2s
tue;tuer;116,46;16,96;ind;pre;1s
tue;tuer;116,46;16,96;ind;pre;3s
tue;tuer;116,46;16,96;sub;pre;1s
tue;tuer;116,46;16,96;sub;pre;3s
acheter;acheter;115,27;57,09;ind;pre;2p
étiez;être;114,69;24,19;ind;imp;2p
devons;devoir;114,35;14,93;imp;pre;1p
devons;devoir;114,35;14,93;ind;pre;1p
inquiète;inquiéter;114,06;22,50;imp;pre;2s
inquiète;inquiéter;114,06;22,50;ind;pre;1s
inquiète;inquiéter;114,06;22,50;ind;pre;3s
inquiète;inquiéter;114,06;22,50;sub;pre;1s
inquiète;inquiéter;114,06;22,50;sub;pre;3s
excuse;excuser;111,82;14,80;imp;pre;2s
excuse;excuser;111,82;14,80;ind;pre;1s
excuse;excuser;111,82;14,80;ind;pre;3s
excuse;excuser;111,82;14,80;sub;pre;3s
fallait;falloir;110,88;310,61;ind;imp;3s
tiens;tenir;110,63;44,86;imp;pre;2s
tiens;tenir;110,63;44,86;ind;pre;1s
tiens;tenir;110,63;44,86;ind;pre;2s
ferais;faire;110,19;26,96;cnd;pre;1s
ferais;faire;110,19;26,96;cnd;pre;2s
monte;monter;109,76;70,34;imp;pre;2s
monte;monter;109,76;70,34;ind;pre;1s
monte;monter;109,76;70,34;ind;pre;3s
monte;monter;109,76;70,34;sub;pre;3s
monte;monter;109,76;70,34;imp;pre;2s
monte;monter;109,76;70,34;ind;pre;1s
monte;monter;109,76;70,34;ind;pre;3s
monte;monter;109,76;70,34;sub;pre;3s
monte;monter;109,76;70,34;imp;pre;2s
monte;monter;109,76;70,34;ind;pre;1s
monte;monter;109,76;70,34;ind;pre;3s
monte;monter;109,76;70,34;sub;pre;3s
pars;partir;109,45;14,53;imp;pre;2s
pars;partir;109,45;14,53;ind;pre;1s
pars;partir;109,45;14,53;ind;pre;2s
devait;devoir;108,88;298,99;ind;imp;3s
allais;aller;108,69;91,01;ind;imp;1s
allais;aller;108,69;91,01;ind;imp;2s
pouvait;pouvoir;108,02;445,00;ind;imp;3s
tire;tirer;107,25;55,14;imp;pre;2s
tire;tirer;107,25;55,14;ind;pre;1s
tire;tirer;107,25;55,14;ind;pre;3s
tire;tirer;107,25;55,14;sub;pre;1s
tire;tirer;107,25;55,14;sub;pre;3s
restez;rester;105,52;10,81;imp;pre;2p
restez;rester;105,52;10,81;ind;pre;2p
agit;agir;105,02;73,72;ind;pre;3s
agit;agir;105,02;73,72;ind;pas;3s
entrez;entrer;104,85;12,70;imp;pre;2p
entrez;entrer;104,85;12,70;ind;pre;2p
oublie;oublier;104,78;34,66;imp;pre;2s
oublie;oublier;104,78;34,66;ind;pre;1s
oublie;oublier;104,78;34,66;ind;pre;3s
oublie;oublier;104,78;34,66;sub;pre;1s
oublie;oublier;104,78;34,66;sub;pre;3s
jure;jurer;104,04;31,62;imp;pre;2s
jure;jurer;104,04;31,62;ind;pre;1s
jure;jurer;104,04;31,62;ind;pre;3s
jure;jurer;104,04;31,62;sub;pre;1s
mange;manger;103,81;31,96;imp;pre;2s
mange;manger;103,81;31,96;ind;pre;1s
mange;manger;103,81;31,96;ind;pre;3s
mange;manger;103,81;31,96;sub;pre;3s
connaît;connaître;103,42;57,03;ind;pre;3s
soyez;être;102,17;17,97;imp;pre;2p
soyez;être;102,17;17,97;sub;pre;2p
apprendre;apprendre;101,76;71,22;ind;pre;2p
tenez;tenir;99,49;30,61;imp;pre;2p
tenez;tenir;99,49;30,61;ind;pre;2p
envoie;envoyer;98,92;30,88;imp;pre;2s
envoie;envoyer;98,92;30,88;ind;pre;1s
envoie;envoyer;98,92;30,88;ind;pre;3s
envoie;envoyer;98,92;30,88;sub;pre;1s
envoie;envoyer;98,92;30,88;sub;pre;3s
manque;manquer;98,77;41,49;imp;pre;2s
manque;manquer;98,77;41,49;ind;pre;1s
manque;manquer;98,77;41,49;ind;pre;3s
manque;manquer;98,77;41,49;sub;pre;3s
disais;dire;98,37;70,68;ind;imp;1s
disais;dire;98,37;70,68;ind;imp;2s
désolée;désoler;98,22;3,38;ind;imp;3s
compte;compter;96,47;51,55;imp;pre;2s
compte;compter;96,47;51,55;ind;pre;1s
compte;compter;96,47;51,55;ind;pre;3s
appelez;appeler;95,78;11,42;imp;pre;2p
appelez;appeler;95,78;11,42;ind;pre;2p
calme;calmer;94,16;10,27;imp;pre;2s
calme;calmer;94,16;10,27;ind;pre;1s
calme;calmer;94,16;10,27;ind;pre;3s
calme;calmer;94,16;10,27;sub;pre;1s
calme;calmer;94,16;10,27;sub;pre;3s
disait;dire;94,00;352,30;ind;imp;3s
fasse;faire;93,83;60,88;sub;pre;1s
fasse;faire;93,83;60,88;sub;pre;3s
garde;garder;93,72;37,70;imp;pre;2s
garde;garder;93,72;37,70;ind;pre;1s
garde;garder;93,72;37,70;ind;pre;3s
garde;garder;93,72;37,70;sub;pre;1s
garde;garder;93,72;37,70;sub;pre;3s
porte;porter;93,05;79,05;imp;pre;2s
porte;porter;93,05;79,05;ind;pre;1s
porte;porter;93,05;79,05;ind;pre;3s
porte;porter;93,05;79,05;sub;pre;1s
porte;porter;93,05;79,05;sub;pre;3s
écoutez;écouter;92,46;24,80;imp;pre;2p
écoutez;écouter;92,46;24,80;ind;pre;2p
touche;toucher;91,91;29,26;imp;pre;2s
touche;toucher;91,91;29,26;ind;pre;1s
touche;toucher;91,91;29,26;ind;pre;3s
touche;toucher;91,91;29,26;sub;pre;1s
touche;toucher;91,91;29,26;sub;pre;3s
puisse;pouvoir;90,37;74,80;sub;pre;1s
puisse;pouvoir;90,37;74,80;sub;pre;3s
préfère;préférer;90,34;36,15;imp;pre;2s
préfère;préférer;90,34;36,15;ind;pre;1s
préfère;préférer;90,34;36,15;ind;pre;3s
préfère;préférer;90,34;36,15;sub;pre;3s
aille;aller;89,81;36,55;sub;pre;1s
aille;aller;89,81;36,55;sub;pre;3s
met;mettre;89,25;86,69;ind;pre;3s
suppose;supposer;89,07;29,53;imp;pre;2s
suppose;supposer;89,07;29,53;ind;pre;1s
suppose;supposer;89,07;29,53;ind;pre;3s
disent;dire;88,46;44,12;ind;pre;3p
disent;dire;88,46;44,12;sub;pre;3p
sortez;sortir;87,79;5,27;imp;pre;2p
sortez;sortir;87,79;5,27;ind;pre;2p
auras;avoir;87,32;21,42;ind;fut;2s
serais;être;86,94;39,59;cnd;pre;1s
serais;être;86,94;39,59;cnd;pre;2s
ferait;faire;86,88;77,23;cnd;pre;3s
existe;exister;85,86;57,97;imp;pre;2s
existe;exister;85,86;57,97;ind;pre;1s
existe;exister;85,86;57,97;ind;pre;3s
existe;exister;85,86;57,97;sub;pre;3s
faudra;falloir;85,73;61,22;ind;fut;3s
monter;monter;85,70;96,89;ind;pre;2p
bouge;bouger;85,45;30,88;imp;pre;2s
bouge;bouger;85,45;30,88;ind;pre;1s
bouge;bouger;85,45;30,88;ind;pre;3s
mettez;mettre;85,44;9,86;imp;pre;2p
mettez;mettre;85,44;9,86;ind;pre;2p
montre;montrer;85,44;38,99;imp;pre;2s
montre;montrer;85,44;38,99;ind;pre;1s
montre;montrer;85,44;38,99;ind;pre;3s
montre;montrer;85,44;38,99;sub;pre;1s
montre;montrer;85,44;38,99;sub;pre;3s
doivent;devoir;85,42;45,95;ind;pre;3p
doivent;devoir;85,42;45,95;sub;pre;3p
marcher;marcher;85,34;80,88;ind;imp;3s
pourra;pouvoir;85,18;37,36;ind;fut;3s
rends;rendre;84,13;27,16;imp;pre;2s
rends;rendre;84,13;27,16;ind;pre;1s
rends;rendre;84,13;27,16;ind;pre;2s
entre;entrer;84,08;58,78;imp;pre;2s
entre;entrer;84,08;58,78;ind;pre;1s
entre;entrer;84,08;58,78;ind;pre;3s
entre;entrer;84,08;58,78;sub;pre;3s
ressemble;ressembler;83,47;40,41;imp;pre;2s
ressemble;ressembler;83,47;40,41;ind;pre;1s
ressemble;ressembler;83,47;40,41;ind;pre;3s
ressemble;ressembler;83,47;40,41;sub;pre;1s
ressemble;ressembler;83,47;40,41;sub;pre;3s
rend;rendre;82,91;40,00;ind;pre;3s
promis;promettre;82,83;42,43;ind;pas;1s
promis;promettre;82,83;42,43;ind;pas;2s
pourriez;pouvoir;82,51;12,09;cnd;pre;2p
sort;sortir;82,41;58,51;ind;pre;3s
dirai;dire;82,39;27,43;ind;fut;1s
pouvons;pouvoir;82,09;21,01;ind;pre;1p
seras;être;81,58;21,96;ind;fut;2s
paraît;paraître;81,22;113,92;ind;pre;3s
devais;devoir;81,01;53,38;ind;imp;1s
devais;devoir;81,01;53,38;ind;imp;2s
savait;savoir;80,85;237,84;ind;imp;3s
tourne;tourner;80,72;60,81;imp;pre;2s
tourne;tourner;80,72;60,81;ind;pre;1s
tourne;tourner;80,72;60,81;ind;pre;3s
tourne;tourner;80,72;60,81;sub;pre;3s
asseyez;asseoir;80,07;7,84;imp;pre;2p
asseyez;asseoir;80,07;7,84;ind;pre;2p
assieds;asseoir;79,85;9,12;imp;pre;2s
assieds;asseoir;79,85;9,12;ind;pre;1s
assieds;asseoir;79,85;9,12;ind;pre;2s
ferme;fermer;79,68;28,38;imp;pre;2s
ferme;fermer;79,68;28,38;ind;pre;1s
ferme;fermer;79,68;28,38;ind;pre;3s
ferme;fermer;79,68;28,38;sub;pre;3s
déteste;détester;79,45;20,81;imp;pre;2s
déteste;détester;79,45;20,81;ind;pre;1s
déteste;détester;79,45;20,81;ind;pre;3s
déteste;détester;79,45;20,81;sub;pre;1s
déteste;détester;79,45;20,81;sub;pre;3s
porter;porter;79,04;79,93;ind;pre;2p
aurai;avoir;78,85;32,36;ind;fut;1s
verra;voir;78,66;26,28;ind;fut;3s
tient;tenir;78,32;96,69;ind;pre;3s
ait;avoir;78,06;49,12;sub;pre;3s
raconte;raconter;78,06;54,12;imp;pre;2s
raconte;raconter;78,06;54,12;ind;pre;1s
raconte;raconter;78,06;54,12;ind;pre;3s
raconte;raconter;78,06;54,12;sub;pre;3s
emmène;emmener;77,85;17,23;imp;pre;2s
emmène;emmener;77,85;17,23;ind;pre;1s
emmène;emmener;77,85;17,23;ind;pre;3s
emmène;emmener;77,85;17,23;sub;pre;3s
tais;taire;77,46;17,43;imp;pre;2s
tais;taire;77,46;17,43;ind;pre;1s
tais;taire;77,46;17,43;ind;pre;2s
imagine;imaginer;77,33;53,58;imp;pre;2s
imagine;imaginer;77,33;53,58;ind;pre;1s
imagine;imaginer;77,33;53,58;ind;pre;3s
imagine;imaginer;77,33;53,58;sub;pre;1s
imagine;imaginer;77,33;53,58;sub;pre;3s
retourne;retourner;77,27;50,54;imp;pre;2s
retourne;retourner;77,27;50,54;ind;pre;1s
retourne;retourner;77,27;50,54;ind;pre;3s
